Postaja,Leto,Mesec,NO2
celje,2010,Apr,21.0
trbovlje,2010,Apr,20.0
hrastnik,2010,Apr,17.0
nova gorica,2010,Apr,25.0
koper,2010,Apr,18.0
iskrba,2010,Apr,1.5
vnajnarje,2010,Apr,3.0
zavodnje,2010,Apr,4.0
skale,2010,Apr,4.0
kovk,2010,Apr,5.0
dobovec,2010,Apr,41.0
sv.mohor,2010,Apr,2.0
ljubljana bezigrad,2010,Maj,24.0
ljubljana center,2010,Maj,53.0
maribor center,2010,Maj,27.0
celje,2010,Maj,13.0
trbovlje,2010,Maj,14.0
hrastnik,2010,Maj,15.0
nova gorica,2010,Maj,24.0
koper,2010,Maj,13.0
iskrba,2010,Maj,1.2
vnajnarje,2010,Maj,2.0
zavodnje,2010,Maj,2.0
skale,2010,Maj,5.0
kovk,2010,Maj,4.0
dobovec,2010,Maj,13.0
sv.mohor,2010,Maj,1.0
ljubljana bezigrad,2010,Jun,21.0
ljubljana center,2010,Jun,50.0
maribor center,2010,Jun,26.0
celje,2010,Jun,15.0
trbovlje,2010,Jun,9.0
hrastnik,2010,Jun,14.0
nova gorica,2010,Jun,21.0
koper,2010,Jun,16.0
iskrba,2010,Jun,1.3
vnajnarje,2010,Jun,2.0
zavodnje,2010,Jun,3.0
skale,2010,Jun,6.0
kovk,2010,Jun,6.0
dobovec,2010,Jun,6.0
sv.mohor,2010,Jun,2.0
ljubljana bezigrad,2010,Jul,21.0
ljubljana center,2010,Jul,49.0
maribor center,2010,Jul,27.0
celje,2010,Jul,15.0
trbovlje,2010,Jul,9.0
hrastnik,2010,Jul,13.0
nova gorica,2010,Jul,22.0
koper,2010,Jul,18.0
iskrba,2010,Jul,1.4
vnajnarje,2010,Jul,1.0
zavodnje,2010,Jul,4.0
skale,2010,Jul,6.0
kovk,2010,Jul,8.0
dobovec,2010,Jul,1.0
sv.mohor,2010,Jul,1.0
ljubljana bezigrad,2010,Avg,21.0
ljubljana center,2010,Avg,46.0
maribor center,2010,Avg,27.0
celje,2010,Avg,16.0
trbovlje,2010,Avg,10.0
hrastnik,2010,Avg,12.0
nova gorica,2010,Avg,19.0
koper,2010,Avg,19.0
iskrba,2010,Avg,1.4
vnajnarje,2010,Avg,3.0
zavodnje,2010,Avg,3.0
skale,2010,Avg,2.0
kovk,2010,Avg,12.0
dobovec,2010,Avg,2.0
sv.mohor,2010,Avg,1.0
ljubljana bezigrad,2010,Sep,27.0
ljubljana center,2010,Sep,47.0
maribor center,2010,Sep,29.0
celje,2010,Sep,21.0
trbovlje,2010,Sep,19.0
hrastnik,2010,Sep,14.0
nova gorica,2010,Sep,23.0
koper,2010,Sep,22.0
iskrba,2010,Sep,1.3
vnajnarje,2010,Sep,2.0
zavodnje,2010,Sep,4.0
skale,2010,Sep,7.0
kovk,2010,Sep,6.0
dobovec,2010,Sep,5.0
sv.mohor,2010,Sep,3.0
ljubljana bezigrad,2010,Okt,32.0
ljubljana center,2010,Okt,53.0
maribor center,2010,Okt,33.0
celje,2010,Okt,37.0
trbovlje,2010,Okt,25.0
hrastnik,2010,Okt,18.0
nova gorica,2010,Okt,27.0
koper,2010,Okt,20.0
iskrba,2010,Okt,1.5
vnajnarje,2010,Okt,2.0
zavodnje,2010,Okt,7.0
skale,2010,Okt,7.0
kovk,2010,Okt,8.0
dobovec,2010,Okt,4.0
sv.mohor,2010,Okt,4.0
ljubljana bezigrad,2010,Nov,37.0
ljubljana center,2010,Nov,53.0
maribor center,2010,Nov,36.0
celje,2010,Nov,27.0
trbovlje,2010,Nov,28.0
hrastnik,2010,Nov,19.0
nova gorica,2010,Nov,34.0
koper,2010,Nov,26.0
iskrba,2010,Nov,3.1
vnajnarje,2010,Nov,2.0
zavodnje,2010,Nov,6.0
skale,2010,Nov,10.0
kovk,2010,Nov,14.0
dobovec,2010,Nov,7.0
sv.mohor,2010,Nov,3.0
ljubljana bezigrad,2010,Dec,58.0
ljubljana center,2010,Dec,78.0
maribor center,2010,Dec,47.0
celje,2010,Dec,40.0
trbovlje,2010,Dec,35.0
hrastnik,2010,Dec,24.0
nova gorica,2010,Dec,43.0
koper,2010,Dec,28.0
iskrba,2010,Dec,
vnajnarje,2010,Dec,9.0
zavodnje,2010,Dec,10.0
skale,2010,Dec,11.0
kovk,2010,Dec,19.0
dobovec,2010,Dec,8.0
sv.mohor,2010,Dec,3.0
ljubljana bezigrad,2011,Jan,40.0
ljubljana center,2011,Jan,58.0
maribor center,2011,Jan,42.0
maribor vrbanski p.,2011,Jan,21.0
celje,2011,Jan,32.0
trbovlje,2011,Jan,25.0
murska s. rakican,2011,Jan,20.0
nova gorica,2011,Jan,35.0
koper,2011,Jan,32.0
iskrba,2011,Jan,
vnajnarje,2011,Jan,13.0
zavodnje,2011,Jan,11.0
skale,2011,Jan,11.0
kovk,2011,Jan,15.0
dobovec,2011,Jan,6.0
sv.mohor,2011,Jan,7.0
ljubljana bezigrad,2011,Feb,40.0
ljubljana center,2011,Feb,63.0
maribor center,2011,Feb,45.0
maribor vrbanski p.,2011,Feb,15.0
celje,2011,Feb,35.0
trbovlje,2011,Feb,25.0
murska s. rakican,2011,Feb,22.0
nova gorica,2011,Feb,39.0
koper,2011,Feb,35.0
iskrba,2011,Feb,
vnajnarje,2011,Feb,6.0
zavodnje,2011,Feb,13.0
skale,2011,Feb,13.0
kovk,2011,Feb,19.0
dobovec,2011,Feb,8.0
sv.mohor,2011,Feb,12.0
ljubljana bezigrad,2011,Mar,34.0
ljubljana center,2011,Mar,64.0
maribor center,2011,Mar,46.0
maribor vrbanski p.,2011,Mar,16.0
celje,2011,Mar,34.0
trbovlje,2011,Mar,19.0
murska s. rakican,2011,Mar,19.0
nova gorica,2011,Mar,31.0
koper,2011,Mar,25.0
iskrba,2011,Mar,2.6
vnajnarje,2011,Mar,4.0
zavodnje,2011,Mar,8.0
skale,2011,Mar,13.0
kovk,2011,Mar,18.0
dobovec,2011,Mar,6.0
sv.mohor,2011,Mar,9.0
ljubljana bezigrad,2011,Apr,30.0
ljubljana center,2011,Apr,56.0
maribor center,2011,Apr,40.0
maribor vrbanski p.,2011,Apr,9.0
celje,2011,Apr,27.0
trbovlje,2011,Apr,16.0
murska s. rakican,2011,Apr,14.0
nova gorica,2011,Apr,27.0
koper,2011,Apr,24.0
iskrba,2011,Apr,2.6
vnajnarje,2011,Apr,4.0
zavodnje,2011,Apr,6.0
skale,2011,Apr,6.0
kovk,2011,Apr,9.0
dobovec,2011,Apr,4.0
sv.mohor,2011,Apr,6.0
ljubljana bezigrad,2011,Maj,26.0
ljubljana center,2011,Maj,54.0
maribor center,2011,Maj,31.0
maribor vrbanski p.,2011,Maj,7.0
celje,2011,Maj,22.0
trbovlje,2011,Maj,17.0
murska s. rakican,2011,Maj,12.0
nova gorica,2011,Maj,20.0
koper,2011,Maj,16.0
iskrba,2011,Maj,2.1
vnajnarje,2011,Maj,1.0
zavodnje,2011,Maj,6.0
skale,2011,Maj,2.0
kovk,2011,Maj,8.0
dobovec,2011,Maj,4.0
sv.mohor,2011,Maj,5.0
ljubljana bezigrad,2011,Jun,22.0
ljubljana center,2011,Jun,50.0
maribor center,2011,Jun,26.0
maribor vrbanski p.,2011,Jun,6.0
celje,2011,Jun,17.0
trbovlje,2011,Jun,17.0
murska s. rakican,2011,Jun,8.0
nova gorica,2011,Jun,19.0
koper,2011,Jun,14.0
iskrba,2011,Jun,1.2
vnajnarje,2011,Jun,3.0
zavodnje,2011,Jun,5.0
skale,2011,Jun,5.0
kovk,2011,Jun,11.0
dobovec,2011,Jun,4.0
sv.mohor,2011,Jun,6.0
ljubljana bezigrad,2011,Jul,17.0
ljubljana center,2011,Jul,44.0
maribor center,2011,Jul,26.0
maribor vrbanski p.,2011,Jul,6.0
celje,2011,Jul,16.0
trbovlje,2011,Jul,12.0
murska s. rakican,2011,Jul,10.0
nova gorica,2011,Jul,16.0
koper,2011,Jul,13.0
iskrba,2011,Jul,1.4
vnajnarje,2011,Jul,4.0
zavodnje,2011,Jul,5.0
skale,2011,Jul,5.0
kovk,2011,Jul,10.0
dobovec,2011,Jul,4.0
sv.mohor,2011,Jul,5.0
ljubljana bezigrad,2011,Avg,22.0
ljubljana center,2011,Avg,49.0
maribor center,2011,Avg,26.0
maribor vrbanski p.,2011,Avg,5.0
celje,2011,Avg,17.0
trbovlje,2011,Avg,11.0
murska s. rakican,2011,Avg,12.0
nova gorica,2011,Avg,19.0
koper,2011,Avg,16.0
iskrba,2011,Avg,1.0
vnajnarje,2011,Avg,3.0
zavodnje,2011,Avg,7.0
skale,2011,Avg,3.0
kovk,2011,Avg,6.0
dobovec,2011,Avg,3.0
sv.mohor,2011,Avg,3.0
ljubljana bezigrad,2011,Sep,29.0
ljubljana center,2011,Sep,57.0
maribor center,2011,Sep,27.0
maribor vrbanski p.,2011,Sep,7.0
celje,2011,Sep,24.0
trbovlje,2011,Sep,13.0
murska s. rakican,2011,Sep,12.0
nova gorica,2011,Sep,28.0
koper,2011,Sep,16.0
iskrba,2011,Sep,1.5
vnajnarje,2011,Sep,5.0
zavodnje,2011,Sep,8.0
skale,2011,Sep,6.0
kovk,2011,Sep,6.0
dobovec,2011,Sep,3.0
sv.mohor,2011,Sep,6.0
ljubljana bezigrad,2011,Okt,32.0
ljubljana center,2011,Okt,53.0
maribor center,2011,Okt,29.0
maribor vrbanski p.,2011,Okt,12.0
celje,2011,Okt,19.0
trbovlje,2011,Okt,15.0
murska s. rakican,2011,Okt,17.0
nova gorica,2011,Okt,28.0
koper,2011,Okt,16.0
iskrba,2011,Okt,1.9
vnajnarje,2011,Okt,9.0
zavodnje,2011,Okt,7.0
skale,2011,Okt,11.0
kovk,2011,Okt,9.0
dobovec,2011,Okt,6.0
sv.mohor,2011,Okt,8.0
ljubljana bezigrad,2011,Nov,38.0
ljubljana center,2011,Nov,58.0
maribor center,2011,Nov,37.0
maribor vrbanski p.,2011,Nov,23.0
celje,2011,Nov,25.0
trbovlje,2011,Nov,15.0
murska s. rakican,2011,Nov,22.0
nova gorica,2011,Nov,36.0
koper,2011,Nov,25.0
iskrba,2011,Nov,4.0
vnajnarje,2011,Nov,18.0
zavodnje,2011,Nov,16.0
skale,2011,Nov,13.0
kovk,2011,Nov,14.0
dobovec,2011,Nov,8.0
sv.mohor,2011,Nov,18.0
ljubljana bezigrad,2011,Dec,38.0
ljubljana center,2011,Dec,61.0
maribor center,2011,Dec,33.0
maribor vrbanski p.,2011,Dec,19.0
celje,2011,Dec,31.0
trbovlje,2011,Dec,14.0
murska s. rakican,2011,Dec,20.0
nova gorica,2011,Dec,36.0
koper,2011,Dec,28.0
iskrba,2011,Dec,3.4
vnajnarje,2011,Dec,13.0
zavodnje,2011,Dec,11.0
skale,2011,Dec,13.0
kovk,2011,Dec,9.0
dobovec,2011,Dec,7.0
sv.mohor,2011,Dec,15.0
ljubljana bezigrad,2012,Jan,36.0
ljubljana center,2012,Jan,63.0
maribor center,2012,Jan,32.0
maribor vrbanski plato,2012,Jan,19.0
celje,2012,Jan,35.0
trbovlje,2012,Jan,22.0
zagorje,2012,Jan,
murska sobota rakican,2012,Jan,19.0
nova gorica,2012,Jan,35.0
koper,2012,Jan,27.0
iskrba,2012,Jan,3.0
zelena trava,2012,Jan,11.0
vnajnarje,2012,Jan,8.0
zavodnje,2012,Jan,9.0
skale,2012,Jan,10.0
kovk,2012,Jan,9.0
dobovec,2012,Jan,9.0
sveti mohor,2012,Jan,11.0
ljubljana bezigrad,2012,Feb,25.0
ljubljana center,2012,Feb,65.0
maribor center,2012,Feb,39.0
maribor vrbanski plato,2012,Feb,21.0
celje,2012,Feb,42.0
trbovlje,2012,Feb,24.0
zagorje,2012,Feb,
murska sobota rakican,2012,Feb,24.0
nova gorica,2012,Feb,25.0
koper,2012,Feb,22.0
iskrba,2012,Feb,4.0
zelena trava,2012,Feb,8.0
vnajnarje,2012,Feb,7.0
zavodnje,2012,Feb,7.0
skale,2012,Feb,9.0
kovk,2012,Feb,5.0
dobovec,2012,Feb,11.0
sveti mohor,2012,Feb,12.0
ljubljana bezigrad,2012,Mar,27.0
ljubljana center,2012,Mar,62.0
maribor center,2012,Mar,46.0
maribor vrbanski plato,2012,Mar,16.0
celje,2012,Mar,38.0
trbovlje,2012,Mar,24.0
zagorje,2012,Mar,31.0
murska sobota rakican,2012,Mar,19.0
nova gorica,2012,Mar,29.0
koper,2012,Mar,25.0
iskrba,2012,Mar,2.0
zelena trava,2012,Mar,10.0
vnajnarje,2012,Mar,7.0
zavodnje,2012,Mar,9.0
skale,2012,Mar,5.0
kovk,2012,Mar,5.0
dobovec,2012,Mar,9.0
sveti mohor,2012,Mar,8.0
ljubljana bezigrad,2012,Apr,15.0
ljubljana center,2012,Apr,50.0
maribor center,2012,Apr,39.0
maribor vrbanski plato,2012,Apr,12.0
celje,2012,Apr,20.0
trbovlje,2012,Apr,15.0
zagorje,2012,Apr,24.0
murska sobota rakican,2012,Apr,17.0
nova gorica,2012,Apr,19.0
koper,2012,Apr,13.0
iskrba,2012,Apr,1.0
zelena trava,2012,Apr,3.0
vnajnarje,2012,Apr,8.0
zavodnje,2012,Apr,6.0
skale,2012,Apr,5.0
kovk,2012,Apr,4.0
dobovec,2012,Apr,3.0
sveti mohor,2012,Apr,4.0
ljubljana bezigrad,2012,Maj,14.0
ljubljana center,2012,Maj,50.0
maribor center,2012,Maj,28.0
maribor vrbanski plato,2012,Maj,8.0
celje,2012,Maj,18.0
trbovlje,2012,Maj,14.0
zagorje,2012,Maj,20.0
murska sobota rakican,2012,Maj,15.0
nova gorica,2012,Maj,19.0
koper,2012,Maj,15.0
iskrba,2012,Maj,1.0
zelena trava,2012,Maj,1.0
vnajnarje,2012,Maj,8.0
zavodnje,2012,Maj,7.0
skale,2012,Maj,5.0
kovk,2012,Maj,2.0
dobovec,2012,Maj,3.0
sveti mohor,2012,Maj,4.0
ljubljana bezigrad,2012,Jun,9.0
ljubljana center,2012,Jun,48.0
maribor center,2012,Jun,28.0
maribor vrbanski plato,2012,Jun,9.0
celje,2012,Jun,17.0
trbovlje,2012,Jun,14.0
zagorje,2012,Jun,21.0
murska sobota rakican,2012,Jun,12.0
nova gorica,2012,Jun,21.0
koper,2012,Jun,13.0
iskrba,2012,Jun,1.0
zelena trava,2012,Jun,
vnajnarje,2012,Jun,10.0
zavodnje,2012,Jun,7.0
skale,2012,Jun,6.0
kovk,2012,Jun,3.0
dobovec,2012,Jun,1.0
sveti mohor,2012,Jun,5.0
ljubljana bezigrad,2012,Jul,11.0
ljubljana center,2012,Jul,44.0
maribor center,2012,Jul,23.0
maribor vrbanski plato,2012,Jul,7.0
celje,2012,Jul,17.0
trbovlje,2012,Jul,11.0
zagorje,2012,Jul,18.0
murska sobota rakican,2012,Jul,14.0
nova gorica,2012,Jul,18.0
koper,2012,Jul,14.0
iskrba,2012,Jul,2.0
zelena trava,2012,Jul,
vnajnarje,2012,Jul,10.0
zavodnje,2012,Jul,6.0
skale,2012,Jul,4.0
kovk,2012,Jul,3.0
dobovec,2012,Jul,1.0
sveti mohor,2012,Jul,5.0
ljubljana bezigrad,2012,Avg,16.0
ljubljana center,2012,Avg,51.0
maribor center,2012,Avg,29.0
maribor vrbanski plato,2012,Avg,7.0
celje,2012,Avg,22.0
trbovlje,2012,Avg,14.0
zagorje,2012,Avg,19.0
murska sobota rakican,2012,Avg,17.0
nova gorica,2012,Avg,22.0
koper,2012,Avg,15.0
iskrba,2012,Avg,2.0
zelena trava,2012,Avg,
vnajnarje,2012,Avg,9.0
zavodnje,2012,Avg,8.0
skale,2012,Avg,7.0
kovk,2012,Avg,1.0
dobovec,2012,Avg,2.0
sveti mohor,2012,Avg,6.0
ljubljana bezigrad,2012,Sep,19.0
ljubljana center,2012,Sep,49.0
maribor center,2012,Sep,27.0
maribor vrbanski plato,2012,Sep,9.0
celje,2012,Sep,23.0
trbovlje,2012,Sep,15.0
zagorje,2012,Sep,21.0
murska sobota rakican,2012,Sep,19.0
nova gorica,2012,Sep,24.0
koper,2012,Sep,12.0
iskrba,2012,Sep,1.0
zelena trava,2012,Sep,2.0
vnajnarje,2012,Sep,10.0
zavodnje,2012,Sep,7.0
skale,2012,Sep,4.0
kovk,2012,Sep,3.0
dobovec,2012,Sep,4.0
sveti mohor,2012,Sep,6.0
ljubljana bezigrad,2012,Okt,21.0
ljubljana center,2012,Okt,44.0
maribor center,2012,Okt,30.0
maribor vrbanski plato,2012,Okt,14.0
celje,2012,Okt,24.0
trbovlje,2012,Okt,15.0
zagorje,2012,Okt,20.0
murska sobota rakican,2012,Okt,20.0
nova gorica,2012,Okt,25.0
koper,2012,Okt,12.0
iskrba,2012,Okt,2.0
zelena trava,2012,Okt,9.0
vnajnarje,2012,Okt,11.0
zavodnje,2012,Okt,11.0
skale,2012,Okt,9.0
kovk,2012,Okt,11.0
dobovec,2012,Okt,8.0
sveti mohor,2012,Okt,7.0
ljubljana bezigrad,2012,Nov,29.0
ljubljana center,2012,Nov,44.0
maribor center,2012,Nov,34.0
maribor vrbanski plato,2012,Nov,18.0
celje,2012,Nov,29.0
trbovlje,2012,Nov,17.0
zagorje,2012,Nov,22.0
murska sobota rakican,2012,Nov,20.0
nova gorica,2012,Nov,30.0
koper,2012,Nov,20.0
iskrba,2012,Nov,2.0
zelena trava,2012,Nov,15.0
vnajnarje,2012,Nov,11.0
zavodnje,2012,Nov,8.0
skale,2012,Nov,11.0
kovk,2012,Nov,14.0
dobovec,2012,Nov,4.0
sveti mohor,2012,Nov,9.0
ljubljana bezigrad,2012,Dec,49.0
ljubljana center,2012,Dec,55.0
maribor center,2012,Dec,39.0
maribor vrbanski plato,2012,Dec,22.0
celje,2012,Dec,37.0
trbovlje,2012,Dec,25.0
zagorje,2012,Dec,26.0
murska sobota rakican,2012,Dec,26.0
nova gorica,2012,Dec,41.0
koper,2012,Dec,33.0
iskrba,2012,Dec,3.0
zelena trava,2012,Dec,16.0
vnajnarje,2012,Dec,16.0
zavodnje,2012,Dec,10.0
skale,2012,Dec,13.0
kovk,2012,Dec,14.0
dobovec,2012,Dec,9.0
sveti mohor,2012,Dec,14.0
lj bezigrad,2013,Jan,38.0
maribor center,2013,Jan,55.0
celje,2013,Jan,41.0
ms rakican,2013,Jan,28.0
nova gorica,2013,Jan,38.0
trbovlje,2013,Jan,21.0
zagorje,2013,Jan,30.0
koper,2013,Jan,34.0
mb vrbanski plato,2013,Jan,28.0
zavodnje,2013,Jan,14.0
skale,2013,Jan,18.0
kovk,2013,Jan,13.0
dobovec,2013,Jan,9.0
sv. mohor,2013,Jan,14.0
lj center,2013,Jan,52.0
vnajnarje,2013,Jan,14.0
zelena trava,2013,Jan,17.0
amp gaji,2013,Jan,33.0
lj bezigrad,2013,Feb,41.0
maribor center,2013,Feb,32.0
celje,2013,Feb,44.0
ms rakican,2013,Feb,28.0
nova gorica,2013,Feb,33.0
trbovlje,2013,Feb,22.0
zagorje,2013,Feb,28.0
koper,2013,Feb,22.0
mb vrbanski plato,2013,Feb,19.0
zavodnje,2013,Feb,9.0
skale,2013,Feb,13.0
kovk,2013,Feb,10.0
dobovec,2013,Feb,5.0
sv. mohor,2013,Feb,10.0
lj center,2013,Feb,61.0
vnajnarje,2013,Feb,11.0
zelena trava,2013,Feb,12.0
amp gaji,2013,Feb,43.0
lj bezigrad,2013,Mar,32.0
maribor center,2013,Mar,36.0
celje,2013,Mar,34.0
ms rakican,2013,Mar,19.0
nova gorica,2013,Mar,31.0
trbovlje,2013,Mar,17.0
zagorje,2013,Mar,23.0
koper,2013,Mar,22.0
mb vrbanski plato,2013,Mar,18.0
zavodnje,2013,Mar,8.0
skale,2013,Mar,10.0
kovk,2013,Mar,9.0
dobovec,2013,Mar,4.0
sv. mohor,2013,Mar,6.0
lj center,2013,Mar,58.0
vnajnarje,2013,Mar,10.0
zelena trava,2013,Mar,14.0
amp gaji,2013,Mar,33.0
lj bezigrad,2013,Apr,27.0
maribor center,2013,Apr,30.0
celje,2013,Apr,22.0
ms rakican,2013,Apr,16.0
nova gorica,2013,Apr,24.0
trbovlje,2013,Apr,14.0
zagorje,2013,Apr,20.0
koper,2013,Apr,21.0
mb vrbanski plato,2013,Apr,12.0
zavodnje,2013,Apr,4.0
skale,2013,Apr,6.0
kovk,2013,Apr,8.0
dobovec,2013,Apr,4.0
sv. mohor,2013,Apr,2.0
lj center,2013,Apr,44.0
vnajnarje,2013,Apr,8.0
zelena trava,2013,Apr,15.0
amp gaji,2013,Apr,25.0
lj bezigrad,2013,Maj,22.0
maribor center,2013,Maj,24.0
celje,2013,Maj,12.0
ms rakican,2013,Maj,11.0
nova gorica,2013,Maj,18.0
trbovlje,2013,Maj,9.0
zagorje,2013,Maj,15.0
koper,2013,Maj,12.0
mb vrbanski plato,2013,Maj,8.0
zavodnje,2013,Maj,3.0
skale,2013,Maj,5.0
kovk,2013,Maj,6.0
dobovec,2013,Maj,8.0
sv. mohor,2013,Maj,4.0
lj center,2013,Maj,37.0
vnajnarje,2013,Maj,7.0
zelena trava,2013,Maj,12.0
amp gaji,2013,Maj,15.0
lj bezigrad,2013,Jun,19.0
maribor center,2013,Jun,27.0
celje,2013,Jun,12.0
ms rakican,2013,Jun,12.0
nova gorica,2013,Jun,17.0
trbovlje,2013,Jun,9.0
zagorje,2013,Jun,21.0
koper,2013,Jun,14.0
mb vrbanski plato,2013,Jun,7.0
zavodnje,2013,Jun,5.0
skale,2013,Jun,6.0
kovk,2013,Jun,9.0
dobovec,2013,Jun,9.0
sv. mohor,2013,Jun,4.0
lj center,2013,Jun,35.0
vnajnarje,2013,Jun,6.0
zelena trava,2013,Jun,13.0
amp gaji,2013,Jun,7.0
lj bezigrad,2013,Jul,20.0
maribor center,2013,Jul,32.0
celje,2013,Jul,14.0
ms rakican,2013,Jul,11.0
nova gorica,2013,Jul,17.0
trbovlje,2013,Jul,10.0
zagorje,2013,Jul,18.0
koper,2013,Jul,14.0
mb vrbanski plato,2013,Jul,7.0
zavodnje,2013,Jul,8.0
skale,2013,Jul,5.0
kovk,2013,Jul,9.0
dobovec,2013,Jul,8.0
sv. mohor,2013,Jul,4.0
lj center,2013,Jul,36.0
vnajnarje,2013,Jul,3.0
zelena trava,2013,Jul,18.0
amp gaji,2013,Jul,10.0
lj bezigrad,2013,Avg,21.0
maribor center,2013,Avg,31.0
celje,2013,Avg,18.0
ms rakican,2013,Avg,10.0
nova gorica,2013,Avg,17.0
trbovlje,2013,Avg,10.0
zagorje,2013,Avg,21.0
koper,2013,Avg,15.0
mb vrbanski plato,2013,Avg,5.0
zavodnje,2013,Avg,7.0
skale,2013,Avg,4.0
kovk,2013,Avg,11.0
dobovec,2013,Avg,10.0
sv. mohor,2013,Avg,4.0
lj center,2013,Avg,38.0
vnajnarje,2013,Avg,4.0
zelena trava,2013,Avg,23.0
amp gaji,2013,Avg,13.0
lj bezigrad,2013,Sep,22.0
maribor center,2013,Sep,29.0
celje,2013,Sep,24.0
ms rakican,2013,Sep,11.0
nova gorica,2013,Sep,19.0
trbovlje,2013,Sep,10.0
zagorje,2013,Sep,21.0
koper,2013,Sep,15.0
mb vrbanski plato,2013,Sep,6.0
zavodnje,2013,Sep,6.0
skale,2013,Sep,5.0
kovk,2013,Sep,9.0
dobovec,2013,Sep,23.0
sv. mohor,2013,Sep,5.0
lj center,2013,Sep,39.0
vnajnarje,2013,Sep,6.0
zelena trava,2013,Sep,21.0
amp gaji,2013,Sep,13.0
lj bezigrad,2013,Okt,25.0
maribor center,2013,Okt,34.0
celje,2013,Okt,27.0
ms rakican,2013,Okt,8.0
nova gorica,2013,Okt,21.0
trbovlje,2013,Okt,18.0
zagorje,2013,Okt,23.0
koper,2013,Okt,16.0
mb vrbanski plato,2013,Okt,11.0
zavodnje,2013,Okt,8.0
skale,2013,Okt,10.0
kovk,2013,Okt,17.0
dobovec,2013,Okt,26.0
sv. mohor,2013,Okt,6.0
lj center,2013,Okt,41.0
vnajnarje,2013,Okt,8.0
zelena trava,2013,Okt,16.0
amp gaji,2013,Okt,13.0
lj bezigrad,2013,Nov,29.0
maribor center,2013,Nov,29.0
celje,2013,Nov,30.0
ms rakican,2013,Nov,12.0
nova gorica,2013,Nov,25.0
trbovlje,2013,Nov,20.0
zagorje,2013,Nov,26.0
koper,2013,Nov,23.0
mb vrbanski plato,2013,Nov,18.0
zavodnje,2013,Nov,9.0
skale,2013,Nov,8.0
kovk,2013,Nov,19.0
dobovec,2013,Nov,35.0
sv. mohor,2013,Nov,8.0
lj center,2013,Nov,35.0
vnajnarje,2013,Nov,9.0
zelena trava,2013,Nov,17.0
amp gaji,2013,Nov,14.0
lj bezigrad,2013,Dec,48.0
maribor center,2013,Dec,40.0
celje,2013,Dec,38.0
ms rakican,2013,Dec,21.0
nova gorica,2013,Dec,40.0
trbovlje,2013,Dec,29.0
zagorje,2013,Dec,35.0
koper,2013,Dec,38.0
mb vrbanski plato,2013,Dec,28.0
zavodnje,2013,Dec,16.0
skale,2013,Dec,13.0
kovk,2013,Dec,31.0
dobovec,2013,Dec,34.0
sv. mohor,2013,Dec,14.0
lj center,2013,Dec,48.0
vnajnarje,2013,Dec,16.0
zelena trava,2013,Dec,22.0
amp gaji,2013,Dec,28.0
ljubljana bezigrad,2014,Jan,32.0
maribor,2014,Jan,40.0
celje,2014,Jan,32.0
murska sobota-rakican,2014,Jan,18.0
nova gorica,2014,Jan,29.0
trbovlje,2014,Jan,20.0
zagorje,2014,Jan,28.0
koper,2014,Jan,26.0
vrbanski plato,2014,Jan,24.0
vnajnarje,2014,Jan,11.0
zavodnje,2014,Jan,14.0
skale,2014,Jan,13.0
kovk,2014,Jan,14.0
dobovec,2014,Jan,34.0
sv. mohor,2014,Jan,12.0
lj center,2014,Jan,38.0
amp gaji,2014,Jan,26.0
zelena trava,2014,Jan,13.0
ljubljana bezigrad,2014,Feb,40.0
maribor,2014,Feb,36.0
celje,2014,Feb,35.0
murska sobota-rakican,2014,Feb,17.0
nova gorica,2014,Feb,29.0
trbovlje,2014,Feb,22.0
zagorje,2014,Feb,30.0
koper,2014,Feb,15.0
vrbanski plato,2014,Feb,20.0
vnajnarje,2014,Feb,10.0
zavodnje,2014,Feb,5.0
skale,2014,Feb,11.0
kovk,2014,Feb,10.0
dobovec,2014,Feb,25.0
sv. mohor,2014,Feb,9.0
lj center,2014,Feb,48.0
amp gaji,2014,Feb,30.0
zelena trava,2014,Feb,13.0
ljubljana bezigrad,2014,Mar,37.0
maribor,2014,Mar,31.0
celje,2014,Mar,37.0
murska sobota-rakican,2014,Mar,14.0
nova gorica,2014,Mar,26.0
trbovlje,2014,Mar,21.0
zagorje,2014,Mar,29.0
koper,2014,Mar,19.0
vrbanski plato,2014,Mar,13.0
vnajnarje,2014,Mar,9.0
zavodnje,2014,Mar,9.0
skale,2014,Mar,7.0
kovk,2014,Mar,9.0
dobovec,2014,Mar,19.0
sv. mohor,2014,Mar,9.0
lj center,2014,Mar,47.0
amp gaji,2014,Mar,29.0
zelena trava,2014,Mar,12.0
ljubljana bezigrad,2014,Apr,27.0
maribor,2014,Apr,27.0
celje,2014,Apr,26.0
murska sobota-rakican,2014,Apr,11.0
nova gorica,2014,Apr,23.0
trbovlje,2014,Apr,17.0
zagorje,2014,Apr,21.0
koper,2014,Apr,18.0
vrbanski plato,2014,Apr,10.0
vnajnarje,2014,Apr,7.0
zavodnje,2014,Apr,5.0
skale,2014,Apr,5.0
kovk,2014,Apr,6.0
dobovec,2014,Apr,22.0
sv. mohor,2014,Apr,5.0
lj center,2014,Apr,40.0
amp gaji,2014,Apr,21.0
zelena trava,2014,Apr,9.0
ljubljana bezigrad,2014,Maj,16.0
maribor,2014,Maj,28.0
celje,2014,Maj,22.0
murska sobota-rakican,2014,Maj,8.0
